Id,SalePrice
1461,49.254444
1462,49.659897
1463,49.98719
1464,49.985134
1465,57.181843
1466,53.477997
1467,51.59537
1468,54.399055
1469,51.560482
1470,48.23186
1471,51.61865
1472,49.281544
1473,46.38621
1474,50.46343
1475,53.18036
1476,64.31432
1477,57.804436
1478,61.55049
1479,63.487896
1480,61.195023
1481,57.53273
1482,59.917847
1483,52.52157
1484,54.730537
1485,51.838932
1486,56.025604
1487,61.29585
1488,60.901386
1489,54.36482
1490,53.940937
1491,55.317772
1492,49.60384
1493,52.61522
1494,58.639957
1495,58.887928
1496,54.491814
1497,54.49848
1498,53.220238
1499,52.47965
1500,50.006386
1501,49.6888
1502,54.54199
1503,59.36006
1504,57.207817
1505,54.342213
1506,52.24392
1507,50.498802
1508,54.05138
1509,52.937454
1510,47.50294
1511,48.139927
1512,49.23639
1513,51.04545
1514,48.332012
1515,48.970055
1516,52.243706
1517,52.23566
1518,52.116295
1519,52.761276
1520,48.059486
1521,49.103012
1522,51.113937
1523,50.53559
1524,48.395966
1525,49.32474
1526,48.66421
1527,50.44961
1528,51.65411
1529,47.257824
1530,50.72071
1531,56.91102
1532,50.54987
1533,50.845535
1534,51.718143
1535,51.70667
1536,49.35091
1537,47.6953
1538,58.837364
1539,60.670918
1540,43.228188
1541,53.923878
1542,48.889286
1543,51.430347
1544,48.8401
1545,50.674118
1546,51.41076
1547,49.569782
1548,50.360146
1549,49.186165
1550,50.140587
1551,53.95971
1552,52.17852
1553,53.39665
1554,54.516956
1555,51.854607
1556,42.565025
1557,47.27505
1558,50.055485
1559,50.165462
1560,49.017014
1561,48.53086
1562,51.91024
1563,48.213028
1564,54.253376
1565,51.575455
1566,53.939743
1567,48.132195
1568,49.65542
1569,51.900837
1570,52.87183
1571,45.226524
1572,51.583115
1573,53.048786
1574,43.032536
1575,55.406925
1576,51.199284
1577,54.88715
1578,54.11051
1579,49.182293
1580,55.126312
1581,53.419064
1582,48.451633
1583,55.45781
1584,57.12624
1585,49.422962
1586,39.08275
1587,48.9493
1588,50.299343
1589,47.883816
1590,51.360924
1591,47.34368
1592,51.00024
1593,54.670162
1594,44.005432
1595,46.446983
1596,54.97542
1597,47.691494
1598,52.26197
1599,55.183353
1600,54.792763
1601,43.61613
1602,48.149284
1603,48.34142
1604,54.26648
1605,57.471905
1606,49.89214
1607,50.758766
1608,53.6912
1609,54.749077
1610,52.78388
1611,55.075222
1612,52.399055
1613,53.883278
1614,50.622414
1615,49.04159
1616,46.03533
1617,49.584557
1618,48.408566
1619,51.133175
1620,46.479073
1621,46.597027
1622,51.213486
1623,54.86003
1624,49.64598
1625,49.67787
1626,49.05053
1627,50.373943
1628,55.665855
1629,52.671535
1630,57.269993
1631,55.362164
1632,55.289444
1633,52.937016
1634,50.976116
1635,50.839527
1636,55.396942
1637,51.405643
1638,55.984936
1639,51.912792
1640,54.14997
1641,53.467175
1642,56.645756
1643,62.4162
1644,57.969482
1645,54.11195
1646,53.987553
1647,54.196487
1648,51.189636
1649,50.646397
1650,46.434467
1651,48.072735
1652,47.882313
